invoice_id,date,store_city,category,product_name,quantity,unit_price,total_sales,payment_mode,customer_type
200000,2024-02-01,Tiruppur,Dairy & Bakery,Butter,6,4320.42,25922.52,Cash,Regular
200001,2024-06-23,Salem,Household & Cleaning,Phenyl,5,3813.67,19068.35,,
200002,2024-02-16,Shoolagiri,Home & Kitchen,Cookware,6,668.43,4010.58,,
200003,2024-09-13,Salem,Apparel & Footwear,Jeans,4,4299.45,17197.8,,
200004,2024-11-07,Dindigul,Dairy & Bakery,Milk,2,2512.32,5024.64,,
200005,2024-03-28,Dindigul,Snacks & Packaged Foods,Noodles,2,811.04,1622.08,UPI,
200006,2024-10-12,Coimbatore,Grocery & Staples,Sugar,4,1516.92,6067.68,Cash,New
200007,2024-05-15,Shoolagiri,Pet Care,Dog Food,2,2229.05,4458.1,,New
200008,2024-06-16,Tiruppur,Stationery & School Supplies,Notebook,7,4226.1,29582.7,UPI,Regular
200009,2024-11-16,Shoolagiri,Dairy & Bakery,Milk,3,3178.89,9536.67,,Regular
200010,2024-01-23,Tiruchirappalli,Kids & Toys,Toy Car,4,2776.0,11104.0,Card,New
200011,2024-07-17,Tiruchirappalli,Snacks & Packaged Foods,Noodles,7,186.95,1308.65,UPI,New
200012,2024-02-18,Dindigul,Bed & Bath,Bedsheet,1,812.29,812.29,,
200013,2024-08-09,Madurai,Stationery & School Supplies,Pen,2,2149.97,4299.94,Card,New
200014,2024-02-17,Kovilpatti,Bed & Bath,Towel,4,1416.37,5665.48,Card,
200015,2024-01-08,Tiruppur,Stationery & School Supplies,Notebook,7,1808.08,12656.56,UPI,
200016,2024-10-19,Madurai,Beverages,Coffee,8,2344.9,18759.2,Cash,Regular
200017,2024-08-09,Vellore,Grocery & Staples,Toor Dal,5,1016.81,5084.05,,
200018,2024-04-05,Dindigul,Fruits & Vegetables,Banana,3,1720.84,5162.52,Card,New
200019,2024-11-23,Vellore,Personal Care,Shampoo,8,1546.76,12374.08,Cash,New
200020,2024-09-25,Salem,Stationery & School Supplies,Notebook,3,1149.02,3447.06,Cash,New
200021,2024-10-10,Madurai,Home Appliances,Iron Box,2,2940.01,5880.02,Card,Regular
200022,2024-09-04,Dindigul,Personal Care,Soap,7,906.99,6348.93,UPI,
200023,2024-01-30,Dindigul,Baby Care,Baby Soap,7,4903.14,34321.98,,New
200024,2024-03-26,Kovilpatti,Home Appliances,Mixer,1,1759.79,1759.79,,Regular
200025,2024-05-09,Tiruppur,Pet Care,Cat Food,6,1120.23,6721.38,Card,New
200026,2024-03-16,Salem,Stationery & School Supplies,Pen,5,2255.21,11276.05,Cash,
200027,2024-05-02,Kovilpatti,Dairy & Bakery,Curd,6,4563.13,27378.78,Card,Regular
